Id,DateTime,Date,Demand
496,11/04/2018 8:00,11/04/2018,6536.3
497,11/04/2018 8:30,11/04/2018,6534.68
498,11/04/2018 9:00,11/04/2018,6502.25
499,11/04/2018 9:30,11/04/2018,6488.56
500,11/04/2018 10:00,11/04/2018,6413.58
501,11/04/2018 10:30,11/04/2018,6351.68
502,11/04/2018 11:00,11/04/2018,6292.55
503,11/04/2018 11:30,11/04/2018,6271.73
504,11/04/2018 12:00,11/04/2018,6233.12
505,11/04/2018 12:30,11/04/2018,6209.16
506,11/04/2018 13:00,11/04/2018,6267.03
507,11/04/2018 13:30,11/04/2018,6374.61
508,11/04/2018 14:00,11/04/2018,6420.63
509,11/04/2018 14:30,11/04/2018,6528.38
510,11/04/2018 15:00,11/04/2018,6619.51
511,11/04/2018 15:30,11/04/2018,6716.96
512,11/04/2018 16:00,11/04/2018,6854.85
513,11/04/2018 16:30,11/04/2018,7039.41
514,11/04/2018 17:00,11/04/2018,7160.99
515,11/04/2018 17:30,11/04/2018,7236.82
516,11/04/2018 18:00,11/04/2018,7289.08
517,11/04/2018 18:30,11/04/2018,7424.26
518,11/04/2018 19:00,11/04/2018,7428.67
519,11/04/2018 19:30,11/04/2018,7232.19
520,11/04/2018 20:00,11/04/2018,7138.69
521,11/04/2018 20:30,11/04/2018,6987.19
522,11/04/2018 21:00,11/04/2018,6740.2
523,11/04/2018 21:30,11/04/2018,6652.87
524,11/04/2018 22:00,11/04/2018,6445.03
525,11/04/2018 22:30,11/04/2018,6341.61
526,11/04/2018 23:00,11/04/2018,6252.46
527,11/04/2018 23:30,11/04/2018,6090.43
528,12/04/2018 0:00,12/04/2018,5774.1
529,12/04/2018 0:30,12/04/2018,5614.35
530,12/04/2018 1:00,12/04/2018,5510.76
531,12/04/2018 1:30,12/04/2018,5379.99
532,12/04/2018 2:00,12/04/2018,5376.63
533,12/04/2018 2:30,12/04/2018,5325.27
534,12/04/2018 3:00,12/04/2018,5311.81
535,12/04/2018 3:30,12/04/2018,5296.35
536,12/04/2018 4:00,12/04/2018,5307.59
537,12/04/2018 4:30,12/04/2018,5349.22
538,12/04/2018 5:00,12/04/2018,5470.58
539,12/04/2018 5:30,12/04/2018,5603.16
540,12/04/2018 6:00,12/04/2018,5801.79
541,12/04/2018 6:30,12/04/2018,6094.45
542,12/04/2018 7:00,12/04/2018,6323.75
543,12/04/2018 7:30,12/04/2018,6314.95
544,12/04/2018 8:00,12/04/2018,6228.94
545,12/04/2018 8:30,12/04/2018,6269.06
546,12/04/2018 9:00,12/04/2018,6439.03
547,12/04/2018 9:30,12/04/2018,6521.2
548,12/04/2018 10:00,12/04/2018,6449.01
549,12/04/2018 10:30,12/04/2018,6380.09
550,12/04/2018 11:00,12/04/2018,6467.22
551,12/04/2018 11:30,12/04/2018,6442.79
552,12/04/2018 12:00,12/04/2018,6380.06
553,12/04/2018 12:30,12/04/2018,6361.6
554,12/04/2018 13:00,12/04/2018,6355.18
555,12/04/2018 13:30,12/04/2018,6401.43
556,12/04/2018 14:00,12/04/2018,6474.65
557,12/04/2018 14:30,12/04/2018,6558
