DateTime,Demand,Price
28/03/2000 5:30,4072.37833,22.99
28/03/2000 8:30,5589.36167,45.12
28/03/2000 11:30,5803.95833,60.04278
28/03/2000 14:30,5884.55667,60.3484
28/03/2000 17:30,5826.77167,60.63546
28/03/2000 20:30,5453.99,49.38
28/03/2000 23:30,5095.04,38.62
29/03/2000 2:30,3994.045,20.84
29/03/2000 5:30,4147.71667,23.38
29/03/2000 8:30,5672.965,98.16
29/03/2000 11:30,5878.27167,60.80027
29/03/2000 14:30,5991.17,61.05463
29/03/2000 17:30,5928.98167,61.3611
29/03/2000 20:30,5608.97,83.08
29/03/2000 23:30,5136.77667,61.69414
30/03/2000 2:30,4012.98667,20.81
30/03/2000 5:30,4141.32333,23.63
30/03/2000 8:30,5693.57833,61.62157
30/03/2000 11:30,5745.89833,79.38
30/03/2000 14:30,5727.805,90.38
30/03/2000 17:30,5590.09833,74.38
30/03/2000 20:30,5403.37167,38.87
30/03/2000 23:30,4994.985,30.81
31/03/2000 2:30,3882.56,20.3
31/03/2000 5:30,4024.97667,21.3
31/03/2000 8:30,5507.565,53.79
31/03/2000 11:30,5631.60167,82.03
31/03/2000 14:30,5632.57167,72.22
31/03/2000 17:30,5531.58667,34.66
31/03/2000 20:30,5177.31333,27.01
31/03/2000 23:30,5012.095,61.87439
1/04/2000 2:30,3796.355,18
1/04/2000 5:30,3788.92833,18
1/04/2000 8:30,4855.875,43.94
1/04/2000 11:30,5055.915,94.09
1/04/2000 14:30,4882.79167,32.9
1/04/2000 17:30,4954.20833,55.24
1/04/2000 20:30,4868.90333,32.44
1/04/2000 23:30,4783.17333,89.27
2/04/2000 2:30,3677.87667,18.75
2/04/2000 5:30,3589.85833,17.36
2/04/2000 8:30,4350.14667,19.25
2/04/2000 11:30,4666.88667,21.5
2/04/2000 14:30,4527.01167,20.76
2/04/2000 17:30,4844.305,49
2/04/2000 20:30,4876.3,33.95
2/04/2000 23:30,4662.635,30.58
3/04/2000 2:30,3584.95,18
3/04/2000 5:30,3757.64833,18
3/04/2000 8:30,5436.41667,65.25
3/04/2000 11:30,5559.40667,61.44654
3/04/2000 14:30,5646.635,61.54327
3/04/2000 17:30,5538.45667,68.15
3/04/2000 20:30,5128.72167,20.97
3/04/2000 23:30,4890.39667,34.71
4/04/2000 2:30,3782.735,17.49
4/04/2000 5:30,3906.77,18
4/04/2000 8:30,5498.135,82.59
4/04/2000 11:30,5648.675,61.71725
4/04/2000 14:30,5727.44,61.94555
4/04/2000 17:30,5652.97333,62.17796
4/04/2000 20:30,5327.36167,30.1
4/04/2000 23:30,4983.96833,30.3
5/04/2000 2:30,3853.98167,18
5/04/2000 5:30,3905.72667,18
5/04/2000 8:30,5431.55333,60.45
5/04/2000 11:30,5728.06667,62.16111
5/04/2000 14:30,5787.41,62.25509
5/04/2000 17:30,5679.04333,62.40781
5/04/2000 20:30,5323.29167,35.68
5/04/2000 23:30,5082.18667,56.9
6/04/2000 2:30,3937.05833,20.55
6/04/2000 5:30,4131.35667,21.76
6/04/2000 8:30,5594.65667,98.97
6/04/2000 11:30,5596.96833,37.99
6/04/2000 14:30,5541.295,41.31
6/04/2000 17:30,5598.97833,59.67
6/04/2000 20:30,5304.51667,34.26
